SP-Afdeling;Gemeente
Gorinchem;Giessenlanden
Gorinchem;Gorinchem
Gorinchem;Hardinxveld-Giessendam
Gorinchem;Leerdam
Gorinchem;MOLENWAARD
Gorinchem;Papendrecht
Gorinchem;Sliedrecht
Gorinchem;Zederik
Gouda;Bergambacht
Gouda;Gouda
Gouda;Nederlek
Gouda;Schoonhoven
Groningen;Bedum
Groningen;Groningen
Groningen;Grootegast
Groningen;Leek
Groningen;Loppersum
Groningen;Marum
Groningen;Winsum
Groningen;Zuidhorn
Haarlem;Bloemendaal
Haarlem;Haarlem
Haarlem;Haarlemmermeer
Haarlem;Heemstede
Haarlem;Zandvoort
Harderwijk;Barneveld
Harderwijk;Ermelo
Harderwijk;Harderwijk
Harderwijk;Nunspeet
Harderwijk;Putten
Haren;Haren
Harlingen;Franekeradeel
Harlingen;Harlingen
Harlingen;Terschelling
Heerenveen;Heerenveen
Heerhugowaard;Heerhugowaard
Heerhugowaard;Langedijk
Heerlen;Gulpen-Wittem
Heerlen;Heerlen
Heerlen;Nuth
Heerlen;Simpelveld
Heerlen;Vaals
Heerlen;Valkenburg aan de Geul
Heerlen;Voerendaal
Hellevoetsluis;Hellevoetsluis
Helmond;Asten
Helmond;Deurne
Helmond;Helmond
Helmond;Laarbeek
Helmond;Someren
Hengelo;Dinkelland
Hengelo;Haaksbergen
Hengelo;Hengelo
Hengelo;Losser
Hengelo;Oldenzaal
Hilversum;Blaricum
Hilversum;Bussum
Hilversum;Eemnes
Hilversum;Hilversum
Hilversum;Huizen
Hilversum;Laren
Hilversum;Naarden
Hilversum;Wijdemeren
Hof van Twente;Hof van Twente
Hof van Twente;Rijssen-Holten
Hoogeveen;Coevorden
Hoogeveen;De Wolden
Hoogeveen;Hoogeveen
Hoogeveen;Midden-Drenthe
Hoogezand-Sappemeer;Hoogezand-Sappemeer
Hoorn;Hoorn
Hoorn;Koggenland
Hoorn;Medemblik
Horst aan de Maas;Horst aan de Maas
Hulst;Hulst
IJsselstein;IJsselstein
IJsselstein;Lopik
IJsselstein;Vianen
Kampen;Elburg
Kampen;Kampen
Kampen;Oldebroek
Kerkrade;Kerkrade
Landgraaf;Landgraaf
Leeuwarden;Ferwerderadiel
Leeuwarden;Het Bildt
Leeuwarden;Leeuwarden
Leeuwarden;Leeuwarderadeel
Leeuwarden;Menameradiel
Leiden;Hillegom
Leiden;Katwijk
Leiden;Leiden
Leiden;Leiderdorp
Leiden;Lisse
Leiden;Noordwijk
Leiden;Noordwijkerhout
Leiden;Oegstgeest
Leiden;Teylingen
Leidschendam;Leidschendam-Voorburg
Leidschendam;Wassenaar
Lelystad;Lelystad
Leudal;Leudal
Leudal;Maasgouw
Leusden;Leusden
Leusden;Woudenberg
Lingewaard;Lingewaard
Maassluis;Maassluis
Maastricht;Eijsden-Margraten
Maastricht;Maastricht
Maastricht;Meerssen
Menterwolde;Menterwolde
Meppel;Meppel
Middelburg;Middelburg
Middelburg;Veere
Moerdijk;Moerdijk
Nieuwegein;Nieuwegein
Nijmegen;Groesbeek
Nijmegen;Heumen
Nijmegen;Millingen aan de Rijn
Nijmegen;Mook en Middelaar
Nijmegen;Nijmegen
Nijmegen;Overbetuwe
Nijmegen;Ubbergen
Nijmegen;Wijchen
Noordoostpolder;Noordoostpolder
Noordoostpolder;Urk
Nuenen;Nuenen ca
Oirschot;Oirschot
Oldambt;Oldambt
Oosterhout;Oosterhout
Ooststellingwerf;Ooststellingwerf
Opsterland;Opsterland
Oss;Landerd
Oss;Oss
Oude IJsselstreek;Aalten
Oude IJsselstreek;Montferland
Oude IJsselstreek;Oude IJsselstreek
Pekela;Pekela
Purmerend;Beemster
Purmerend;Purmerend
Raalte;Olst-Wijhe
Raalte;Raalte
Rheden;Brummen
Rheden;Rheden
Rijswijk;Rijswijk
Roermond;Roerdalen
Roermond;Roermond
Roosendaal;Halderberge
Roosendaal;Roosendaal
Roosendaal;Rucphen
Rotterdam;Albrandswaard
Rotterdam;Barendrecht
Rotterdam;Binnenmaas
Rotterdam;Cromstrijen
Rotterdam;Goeree-Overflakkee
Rotterdam;Korendijk
Rotterdam;Oud-Beijerland
Rotterdam;Ridderkerk
Rotterdam;Rotterdam
Rotterdam;Strijen
Schagen;Hollands Kroon
Schagen;Schagen
Schiedam;Schiedam
Schijndel;Schijndel
Schijndel;Sint-Michielsgestel
Schijndel;Sint-Oedenrode
Schouwen-Duiveland;Schouwen-Duiveland
Sittard-Geleen;Beek
Sittard-Geleen;Schinnen
Sittard-Geleen;Sittard-Geleen
Sittard-Geleen;Stein
Slochteren;Slochteren
Sluis;Sluis
Smallingerland;Achtkarspelen
Smallingerland;Kollumerland ca
Smallingerland;Smallingerland
Smallingerland;Tytsjerksteradiel
Smallingerland;Weststellingwerf
Spijkenisse;Bernisse
Spijkenisse;Spijkenisse
Stadskanaal;Borger-Odoorn
Stadskanaal;Stadskanaal
Stede Broec;Stede Broec
Steenwijkerland;Steenwijkerland
Stichtse Vecht;Stichtse Vecht
Sudwest-Fryslan;Littenseradiel
Sudwest-Fryslan;Skarsterlân
Sudwest-Fryslan;Sudwest Fryslan
Terneuzen;Terneuzen
Tholen;Reimerswaal
Tholen;Tholen
Tilburg;Baarle-Nassau
Tilburg;Loon op Zand
Tilburg;Oisterwijk
Tilburg;Tilburg
Tilburg;Waalwijk
Uden;Boekel
Uden;Uden
Utrecht;De Ronde Venen
Utrecht;Houten
Utrecht;Montfoort
Utrecht;Oudewater
Utrecht;Utrecht
Utrecht;Woerden
Utrechtse Heuvelrug;Utrechtse Heuvelrug
Veendam;Veendam
Veenendaal;Rhenen
Veenendaal;Veenendaal
Veghel;Veghel
Velsen;Beverwijk
Velsen;Heemskerk
Velsen;Uitgeest
Velsen;Velsen
Venlo;Beesel
Venlo;Peel en Maas
Venlo;Venlo
Venray;Venray
Vlaardingen;Vlaardingen
Vlissingen;Vlissingen
Voorschoten;Voorschoten
Voorschoten;Zoeterwoude
Vught;Vught
Wageningen;Ede
Wageningen;Wageningen
Waterland;Edam-Volendam
Waterland;Waterland
Weert;Cranendonck
Weert;Nederweert
Weert;Weert
West Maas en Waal;Druten
West Maas en Waal;West Maas en Waal
West-Friesland Oost;Drechterland
West-Friesland Oost;Enkhuizen
Westerveld;Westerveld
Westervoort;Westervoort
Westland;Westland
Wijk bij Duurstede;Wijk bij Duurstede
Winterswijk;Oost Gelre
Winterswijk;Winterswijk
Wormerland;Landsmeer
Wormerland;Oostzaan
Wormerland;Wormerland
Zaanstreek;Zaanstad
Zaltbommel;Maasdriel
Zaltbommel;Zaltbommel
Zeist;Bunnik
Zeist;Zeist
Zoetermeer;Lansingerland
Zoetermeer;Zoetermeer
Zuidplas;Waddinxveen
Zuidplas;Zuidplas
Zutphen;Lochem
Zutphen;Zutphen
Zwijndrecht;Hendrik-Ido-Ambacht
Zwijndrecht;Zwijndrecht
Zwolle;Dalfsen
Zwolle;Hardenberg
Zwolle;Ommen
Zwolle;Staphorst
Zwolle;Zwartewaterland
Zwolle;Zwolle
